measurement_id,timestamp,stop_id,route,bus_id,trip_id,shape_id,sequence,latitude,longitude
161-5-2025-05-16T07:09:00-3072,2025-05-16 07:09:12.382403,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.07281,11.16222
161-5-2025-05-16T07:09:00-6497,2025-05-16 07:09:15.250293,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.07229,11.16207
161-5-2025-05-16T07:09:00-7449,2025-05-16 07:09:24.494379,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.07137,11.16206
161-5-2025-05-16T07:09:00-7390,2025-05-16 07:09:28.00015,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.07119,11.16211
161-5-2025-05-16T07:09:00-3646,2025-05-16 07:09:30.096587,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.07072,11.16243
161-5-2025-05-16T07:09:00-2675,2025-05-16 07:09:44.730098,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.07052,11.16252
161-5-2025-05-16T07:09:00-7562,2025-05-16 07:09:58.144808,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.07037,11.16253
161-5-2025-05-16T07:09:00-8722,2025-05-16 07:10:02.926372,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06967,11.16196
161-5-2025-05-16T07:09:00-7635,2025-05-16 07:10:08.569514,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.0692,11.16119
161-5-2025-05-16T07:09:00-5829,2025-05-16 07:10:12.159711,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06896,11.16102
161-5-2025-05-16T07:09:00-8929,2025-05-16 07:10:19.917947,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.0686,11.16111
161-5-2025-05-16T07:09:00-6782,2025-05-16 07:10:22.663154,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06847,11.16131
161-5-2025-05-16T07:09:00-2911,2025-05-16 07:10:26.138936,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06825,11.16183
161-5-2025-05-16T07:09:00-1751,2025-05-16 07:10:51.37152,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.0681,11.16191
161-5-2025-05-16T07:09:00-4595,2025-05-16 07:11:03.415471,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06793,11.16178
161-5-2025-05-16T07:09:00-1131,2025-05-16 07:11:16.481971,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06695,11.16047
161-5-2025-05-16T07:09:00-2110,2025-05-16 07:11:29.093314,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06643,11.15992
161-5-2025-05-16T07:09:00-1360,2025-05-16 07:11:30.491835,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06566,11.15962
161-5-2025-05-16T07:09:00-7983,2025-05-16 07:11:30.491835,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06482,11.15947
161-5-2025-05-16T07:09:00-2445,2025-05-16 07:11:33.258873,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06475,11.15942
161-5-2025-05-16T07:09:00-8226,2025-05-16 07:11:34.638283,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06475,11.15942
161-5-2025-05-16T07:09:00-9536,2025-05-16 07:11:36.347543,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06464,11.15928
161-5-2025-05-16T07:09:00-2498,2025-05-16 07:11:40.453092,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06462,11.15916
161-5-2025-05-16T07:09:00-9061,2025-05-16 07:12:13.281268,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06463,11.15899
161-5-2025-05-16T07:09:00-1503,2025-05-16 07:12:16.697056,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06475,11.15872
161-5-2025-05-16T07:09:00-5319,2025-05-16 07:12:20.64981,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06625,11.15734
161-5-2025-05-16T07:09:00-1609,2025-05-16 07:12:25.684753,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06636,11.15713
161-5-2025-05-16T07:09:00-5923,2025-05-16 07:12:40.877029,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06642,11.15679
161-5-2025-05-16T07:09:00-4159,2025-05-16 07:12:40.877029,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06639,11.15629
161-5-2025-05-16T07:09:00-3392,2025-05-16 07:12:51.925936,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06612,11.15504
161-5-2025-05-16T07:09:00-2238,2025-05-16 07:12:51.925936,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06612,11.15504
161-5-2025-05-16T07:09:00-9453,2025-05-16 07:12:56.091465,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06573,11.15441
161-5-2025-05-16T07:09:00-1894,2025-05-16 07:13:04.269832,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06573,11.15441
161-5-2025-05-16T07:09:00-1967,2025-05-16 07:13:15.062551,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06555,11.15422
161-5-2025-05-16T07:09:00-6091,2025-05-16 07:13:31.640117,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06525,11.15377
161-5-2025-05-16T07:09:00-1255,2025-05-16 07:13:31.640117,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.0649,11.15311
161-5-2025-05-16T07:09:00-5430,2025-05-16 07:13:51.82991,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06445,11.15197
161-5-2025-05-16T07:09:00-4001,2025-05-16 07:13:53.517398,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06445,11.15197
161-5-2025-05-16T07:09:00-3612,2025-05-16 07:13:54.763239,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06391,11.15057
161-5-2025-05-16T07:09:00-7959,2025-05-16 07:13:55.905496,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06386,11.15046
161-5-2025-05-16T07:09:00-6134,2025-05-16 07:13:56.96596,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06385,11.15034
161-5-2025-05-16T07:09:00-1175,2025-05-16 07:13:58.797929,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06388,11.15026
161-5-2025-05-16T07:09:00-8806,2025-05-16 07:14:00.196458,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06389,11.15016
161-5-2025-05-16T07:09:00-4444,2025-05-16 07:14:02.091118,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06385,11.15002
161-5-2025-05-16T07:09:00-7838,2025-05-16 07:14:15.023876,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06378,11.14997
161-5-2025-05-16T07:09:00-2212,2025-05-16 07:14:18.131685,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06377,11.14978
161-5-2025-05-16T07:09:00-6832,2025-05-16 07:14:21.986515,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06385,11.1485
161-5-2025-05-16T07:09:00-8434,2025-05-16 07:14:34.404282,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06393,11.14828
161-5-2025-05-16T07:09:00-1552,2025-05-16 07:14:39.706744,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06417,11.14821
161-5-2025-05-16T07:09:00-9719,2025-05-16 07:14:48.149617,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06494,11.14844
161-5-2025-05-16T07:09:00-4175,2025-05-16 07:14:59.114077,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06533,11.14843
161-5-2025-05-16T07:09:00-6631,2025-05-16 07:15:02.521621,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06574,11.14811
161-5-2025-05-16T07:09:00-3315,2025-05-16 07:15:04.179051,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.0662,11.14759
161-5-2025-05-16T07:09:00-6594,2025-05-16 07:15:08.284533,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06624,11.14728
161-5-2025-05-16T07:09:00-5582,2025-05-16 07:15:15.413314,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06622,11.14713
161-5-2025-05-16T07:09:00-9062,2025-05-16 07:15:45.602545,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.0661,11.14686
161-5-2025-05-16T07:09:00-8048,2025-05-16 07:15:45.602545,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06583,11.14648
161-5-2025-05-16T07:09:00-9799,2025-05-16 07:15:48.484058,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06459,11.14501
161-5-2025-05-16T07:09:00-7763,2025-05-16 07:15:51.954373,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06459,11.14501
161-5-2025-05-16T07:09:00-6117,2025-05-16 07:16:27.941621,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06452,11.1448
161-5-2025-05-16T07:09:00-8075,2025-05-16 07:16:34.683253,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06453,11.14444
161-5-2025-05-16T07:09:00-9420,2025-05-16 07:16:37.090424,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06508,11.14135
161-5-2025-05-16T07:09:00-6434,2025-05-16 07:16:38.982377,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06521,11.14081
161-5-2025-05-16T07:09:00-8123,2025-05-16 07:16:51.634604,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.0653,11.14068
161-5-2025-05-16T07:09:00-8624,2025-05-16 07:17:00.42113,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.0654,11.14062
161-5-2025-05-16T07:09:00-8730,2025-05-16 07:17:02.086801,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06625,11.14048
161-5-2025-05-16T07:09:00-1364,2025-05-16 07:17:05.780612,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06688,11.14044
161-5-2025-05-16T07:09:00-7731,2025-05-16 07:17:16.856381,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06697,11.14039
161-5-2025-05-16T07:09:00-8420,2025-05-16 07:17:19.634236,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06708,11.14015
161-5-2025-05-16T07:09:00-2440,2025-05-16 07:17:22.194089,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06725,11.1392
161-5-2025-05-16T07:09:00-2960,2025-05-16 07:17:25.451885,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06734,11.13903
161-5-2025-05-16T07:09:00-6026,2025-05-16 07:17:28.248876,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06749,11.13897
161-5-2025-05-16T07:09:00-2087,2025-05-16 07:17:38.209741,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06772,11.13899
161-5-2025-05-16T07:09:00-4511,2025-05-16 07:17:52.960424,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06786,11.13909
161-5-2025-05-16T07:09:00-1523,2025-05-16 07:17:56.877846,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06812,11.13979
161-5-2025-05-16T07:09:00-5632,2025-05-16 07:17:59.653076,161,5,83,"0004205272024090920250612",D605_T0530_Ritorno_sub1,1,46.06869,11.14056
