trip_id,bus_id,route,stop_id,timestamp,passengers_on
"0004206392024090920250612",91,5,147,2025-05-16 09:53:00,6
"0004206472024090920250612",73,5,444,2025-05-16 17:44:00,5
"0004206392024090920250612",91,5,166,2025-05-16 09:47:00,11
"0004205332024090920250612",113,5,174,2025-05-16 13:28:00,4
"0004205312024090920250612",57,5,451,2025-05-16 13:37:00,2
"0004206472024090920250612",73,5,181,2025-05-16 17:59:00,7
"0004206392024090920250612",91,5,450,2025-05-16 09:48:00,9
"0004206392024090920250612",91,5,185,2025-05-16 09:57:00,8
"0004206402024090920250612",164,5,186,2025-05-16 10:57:00,1
"0004206382024090920250612",115,5,161,2025-05-16 09:04:00,8
"0004205342024090920250612",114,5,146,2025-05-16 13:40:00,3
"0004206462024090920250612",1,5,9,2025-05-16 17:02:00,5
"0004206462024090920250612",1,5,186,2025-05-16 16:57:00,8
"0004206472024090920250612",73,5,2927,2025-05-16 17:47:00,7
"0004206462024090920250612",1,5,181,2025-05-16 16:59:00,8
"0004206372024090920250612",104,5,243,2025-05-16 08:00:00,4
"0004206472024090920250612",73,5,452,2025-05-16 17:50:00,5
"0004206452024090920250612",203,5,165,2025-05-16 15:45:00,3
"0004206422024090920250612",159,5,215,2025-05-16 12:56:00,1
"0004206462024090920250612",1,5,247,2025-05-16 16:40:00,4
"0004206392024090920250612",91,5,247,2025-05-16 09:40:00,7
"0004206472024090920250612",73,5,215,2025-05-16 17:56:00,4
"0004206462024090920250612",1,5,145,2025-05-16 16:52:00,7
"0004206382024090920250612",115,5,185,2025-05-16 08:57:00,8
"0004206422024090920250612",159,5,243,2025-05-16 13:00:00,2
"0004206472024090920250612",73,5,188,2025-05-16 17:55:00,8
"0004206392024090920250612",91,5,9,2025-05-16 10:02:00,1
"0004206372024090920250612",104,5,181,2025-05-16 07:59:00,5
"0004206472024090920250612",73,5,145,2025-05-16 17:52:00,9
"0004206392024090920250612",91,5,145,2025-05-16 09:52:00,5
"0004206452024090920250612",203,5,444,2025-05-16 15:44:00,2
"0004206412024090920250612",40,5,165,2025-05-16 11:45:00,1
"0004206442024090920250612",112,5,407,2025-05-16 14:42:00,2
"0004206382024090920250612",115,5,452,2025-05-16 08:50:00,5
"0004205312024090920250612",57,5,2189,2025-05-16 13:43:00,2
"0004206392024090920250612",91,5,165,2025-05-16 09:45:00,7
"0004206392024090920250612",91,5,183,2025-05-16 09:56:00,8
