event_id;event_name;day;start_time;end_time;location;latitude;longitude
200;DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA;2025-04-28;08:30;19:30;Biblioteca comunale sede centrale, via Roma 55, Trento;46.06990542301674;11.120876396488766
201;DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA;2025-04-29;08:30;19:30;Biblioteca comunale sede centrale, via Roma 55, Trento;46.06990542301674;11.120876396488766
202;DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA;2025-04-30;08:30;19:30;Biblioteca comunale sede centrale, via Roma 55, Trento;46.06990542301674;11.120876396488766
203;DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA;2025-05-01;08:30;19:30;Biblioteca comunale sede centrale, via Roma 55, Trento;46.06990542301674;11.120876396488766
204;DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA;2025-05-02;08:30;19:30;Biblioteca comunale sede centrale, via Roma 55, Trento;46.06990542301674;11.120876396488766
205;IL DIPARTIMENTO DELL'ORSO;2025-05-03;10:30;11:30;Sala Affreschi, Biblioteca comunale, via Roma 55, Trento;46.06984587535341;11.12085493881755
206;BESTIARIO DANTESCO;2025-05-03;15:00;17:00;Sala Giovani, Biblioteca comunale, via Roma 55, Trento;46.06982354496311;11.120876396488766
207;DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA;2025-05-03;08:30;12:30;Biblioteca comunale sede centrale, via Roma 55, Trento;46.06990542301674;11.120876396488766
208;DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA;2025-05-05;08:30;19:30;Biblioteca comunale sede centrale, via Roma 55, Trento;46.06990542301674;11.120876396488766
209;APERITIVI DELLE LINGUE;2025-05-06;20:30;21:30;Bookique, via Torre d'Augusto 28, Trento;46.07318773152105;11.126394794639678
210;DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA;2025-05-06;08:30;19:30;Biblioteca comunale sede centrale, via Roma 55, Trento;46.06990542301674;11.120876396488766
211;L'AMMINISTRATORE/TRICE DI SOSTEGNO - INCONTRI DI APPROFONDIMENTO;2025-05-07;17:30;19:30;Online;;
212;DANTE VIBES: PAROLE, IMMAGINI, GIOCHI INTORNO AL SOMMO POETA;2025-05-07;08:30;19:30;Biblioteca comunale sede centrale, via Roma 55, Trento;46.06990542301674;11.120876396488766
